"word","pinyin","pinyinf","category","meaning"
"简朴","jian3 pu3","jiǎn pǔ","形容詞","簡素な、シンプルな"
"见利忘义","jian4 li4 wang4 yi4","jiàn lì wàng yì","成語","目先の利益に目がくらんで、道義をを忘れる"
"建筑","jian4 zhu4","jiàn zhù","動詞","建設する、建築する"
"健全","jian4 quan2","jiàn quán","形容詞","健全な"
"渐行渐远","jian4 xing2 jian4 yuan3","jiàn  xíng jiàn  yuǎn","成語","徐々に遠くなる (音声は最初の2文字分だけ)"
"鉴定","jian4 ding4","jiàn dìng","動詞","見分ける、評価する、鑑定(名詞)"
"箭头","jian4 tou2","jiàn tóu","名詞","矢じり、矢印"
"交叉","jiao1 cha1","jiāo chā","動詞","交差する、交わる"
"交汇","jiao1 hui4","jiāo huì","動詞","合流する、混じり合う"
"交际","jiao1 ji4","jiāo jì","動詞","交際する、付きあう"
"交往","jiao1 wang3","jiāo wǎng","動詞","付き合う"
